code,title,theme,last_update,last_structure_change,data_start,data_end,values,tsv_url,sdmx_url,browser_url
AACT_ALI01,Agricultural labour input statistics - absolute figures (thousand annual work units),"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Agricultural labour input statistics",13.05.2026,24.03.2026,1973,2025,3945,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI01/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI01/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_ALI01
AACT_ALI01_R,Agricultural labour input statistics by NUTS 2 region - absolute figures (thousand annual work units),General and regional statistics / Regional statistics by NUTS classification / Regional agriculture statistics / Agricultural labour input statistics,24.03.2026,24.03.2026,1995,2023,2183,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI01_R/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI01_R/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_ALI01_R
AACT_ALI01_R,Agricultural labour input statistics by NUTS 2 region - absolute figures (thousand annual work units),"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Agricultural labour input statistics",24.03.2026,24.03.2026,1995,2023,2183,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI01_R/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI01_R/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_ALI01_R
AACT_ALI02,Agricultural labour input statistics - indices,"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Agricultural labour input statistics",13.05.2026,24.03.2026,1973,2025,11835,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI02/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI02/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_ALI02
AACT_ALI02_R,Agricultural labour input statistics by NUTS 2 region - indices,General and regional statistics / Regional statistics by NUTS classification / Regional agriculture statistics / Agricultural labour input statistics,24.03.2026,24.03.2026,1995,2023,1874,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI02_R/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI02_R/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_ALI02_R
AACT_ALI02_R,Agricultural labour input statistics by NUTS 2 region - indices,"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Agricultural labour input statistics",24.03.2026,24.03.2026,1995,2023,1874,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI02_R/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_ALI02_R/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_ALI02_R
AACT_EAA01,Economic accounts for agriculture - values at current prices,"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Economic accounts for agriculture",13.05.2026,23.03.2026,1973,2025,1328949,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA01/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA01/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_EAA01
AACT_EAA01_R,Economic accounts for agriculture by NUTS 2 region - values at current prices,General and regional statistics / Regional statistics by NUTS classification / Regional agriculture statistics / Economic accounts for agriculture,24.03.2026,24.03.2026,1980,2024,4929942,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA01_R/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA01_R/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_EAA01_R
AACT_EAA01_R,Economic accounts for agriculture by NUTS 2 region - values at current prices,"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Economic accounts for agriculture",24.03.2026,24.03.2026,1980,2024,4929942,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA01_R/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA01_R/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_EAA01_R
AACT_EAA02,Economic accounts for agriculture - values at n-1 prices,"Agriculture, forestry and fisheries / Agriculture / Economic accounts for agriculture / Economic accounts for agriculture",13.05.2026,24.03.2026,1973,2025,1249896,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA02/?format=TSV,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/AACT_EAA02/?format=sdmx_2.1_generic,https://ec.europa.eu/eurostat/databrowser/product/view/AACT_EAA02
