date_utc,time_utc,weekday,method,http_status,ok,bytes_read,elapsed_s,note
2026-08-22,09:00:53,Sat,full-pull,200,yes,,,spike A2 - full catalogue served
2026-08-22,09:16:13,Sat,full-pull,200,yes,,,"spike A2 v2 - served again, 15 min later"
2026-08-22,09:31:22,Sat,full-pull,403,no,,,3rd pull in 31 min - blocked
2026-08-22,09:45:41,Sat,full-pull,,no,,,4th pull in 45 min - timeout
2026-08-23,08:19:05,Sun,full-pull,,no,,,22.6 h gap - still failing
2026-08-23,20:17:16,Sun,full-pull,,no,,,12.0 h gap - still failing
2026-08-24,07:34:27,Mon,full-pull,200,yes,,,"11.3 h gap - served, 13084 indicators"
2026-08-25,10:15:21,Tue,HEAD,,no,0,120.4,URLError: <urlopen error timed out>
2026-08-26,10:20:42,Wed,HEAD,,no,0,120.6,URLError: <urlopen error timed out>
2026-08-27,20:01:58,Thu,HEAD,,no,0,120.4,URLError: <urlopen error timed out>
2026-08-28,20:59:35,Fri,HEAD,,no,0,0.7,RemoteDisconnected: Remote end closed connection without response
2026-08-29,14:41:53,Sat,HEAD,,no,0,1.0,RemoteDisconnected: Remote end closed connection without response
2026-08-30,14:31:20,Sun,HEAD,,no,0,1.0,RemoteDisconnected: Remote end closed connection without response
2026-08-31,17:14:45,Mon,HEAD,,no,0,1.1,RemoteDisconnected: Remote end closed connection without response
2026-09-01,14:21:00,Tue,HEAD,,no,0,120.5,URLError: <urlopen error timed out>
2026-09-02,13:52:49,Wed,HEAD,,no,0,1.1,RemoteDisconnected: Remote end closed connection without response
2026-09-03,13:55:17,Thu,HEAD,,no,0,120.5,URLError: <urlopen error timed out>
2026-09-04,13:49:51,Fri,HEAD,,no,0,120.8,URLError: <urlopen error timed out>
2026-09-05,13:02:52,Sat,HEAD,,no,0,1.0,RemoteDisconnected: Remote end closed connection without response
