id,area,name,fontes,ultima_atualizacao,url,removed,featured
1415,europa,Abastecimento público de água,Eurostat | OCDE | Institutos Nacionais de Estatística | PORDATA,2026-01-06,https://www.pordata.pt/europa/abastecimento+publico+de+agua-1415,,
3393,europa,Abortos: Interrupções voluntárias de gravidez,Eurostat | NU | Institutos Nacionais de Estatística | PORDATA,2026-03-24,https://www.pordata.pt/europa/abortos+interrupcoes+voluntarias+de+gravidez-3393,,
3308,europa,Absolvidos da prática de crimes,Eurostat | UNODC | Entidades Nacionais | PORDATA,2026-04-29,https://www.pordata.pt/europa/absolvidos-3308,,
1712,europa,"Acidentes de trabalho graves, por 100 mil empregados: total e por alguns setores de atividade económica",Eurostat | Institutos Nacionais de Estatística | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+graves++por+100+mil+empregados+total+e+por+alguns+setores+de+atividade+economica-1712,,
1355,europa,Acidentes de trabalho graves e mortais,Eurostat | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+graves+e+mortais-1355,,
1304,europa,Acidentes de trabalho graves: total e por alguns setores de atividade económica,Eurostat | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+graves+total+e+por+alguns+setores+de+atividade+economica-1304,,
1713,europa,"Acidentes de trabalho mortais, por 100 mil empregados: total e por alguns setores de atividade económica",Eurostat | Institutos Nacionais de Estatística | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+mortais++por+100+mil+empregados+total+e+por+alguns+setores+de+atividade+economica-1713,,
3572,europa,Acidentes de trabalho mortais por 100 mil empregados: total e por sexo,Eurostat | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+mortais+por+100+mil+empregados+total+e+por+sexo-3572,,
1314,europa,Acidentes de trabalho mortais: total e por alguns setores de atividade económica,Eurostat | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+mortais+total+e+por+alguns+setores+de+atividade+economica-1314,,
1325,europa,Acidentes de trabalho mortais: total e por sexo,Eurostat | Entidades Nacionais | PORDATA,2026-07-09,https://www.pordata.pt/europa/acidentes+de+trabalho+mortais+total+e+por+sexo-1325,,
3043,europa,Evolução de Acidentes de viação por países,CE | DG MOVE | Entidades Nacionais | PORDATA,2026-05-19,https://www.pordata.pt/europa/acidentes+de+viacao-3043,,
2724,europa,Acidentes ferroviários: total e por tipo de acidente,Eurostat | ERA | Entidades Nacionais | PORDATA,2026-01-12,https://www.pordata.pt/europa/acidentes+ferroviarios+total+e+por+tipo+de+acidente-2724,,
3590,europa,Administrações Públicas: despesa em tribunais <em>per capita</em>,Eurostat | Entidades Nacionais | PORDATA,2026-03-24,https://www.pordata.pt/europa/administracoes+publicas+despesa+em+tribunais+per+capita-3590,,
1547,europa,"Administrações Públicas: despesas, receitas e défice/excedente público (Euro)",Eurostat | Entidades Nacionais | PORDATA,2026-04-23,https://www.pordata.pt/europa/administracoes+publicas+despesas++receitas+e+defice+excedente+publico+(euro)-1547,,
1762,europa,"Administrações Públicas: despesas, receitas e défice/excedente público, em % do PIB",Eurostat | Entidades Nacionais | PORDATA,2026-04-23,https://www.pordata.pt/europa/administracoes+publicas+despesas++receitas+e+defice+excedente+publico++em+percentagem+do+pib-1762,,
1968,europa,Administrações Públicas: despesas por categoria (Euro),Eurostat | Entidades Nacionais | PORDATA,2026-04-23,https://www.pordata.pt/europa/administracoes+publicas+despesas+por+categoria+(euro)-1968,,
1980,europa,Administrações Públicas: despesas por categoria (%),Eurostat | Entidades Nacionais | PORDATA,2026-04-23,https://www.pordata.pt/europa/administracoes+publicas+despesas+por+categoria+(percentagem)-1980,,
1763,europa,Administrações Públicas: dívida bruta em % do PIB,Eurostat | Entidades Nacionais | PORDATA,2026-04-23,https://www.pordata.pt/europa/administracoes+publicas+divida+bruta+em+percentagem+do+pib-1763,,
1967,europa,Administrações Públicas: impostos sobre o rendimento (Euro),Eurostat | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/administracoes+publicas+impostos+sobre+o+rendimento+(euro)-1967,,
