id,area,name_pt,name_en,status
1415,europa,Abastecimento público de água,Public water supply,ok
3393,europa,Abortos: Interrupções voluntárias de gravidez,Legally induced abortions,ok
3308,europa,Absolvidos da prática de crimes,Pesons acquitted,ok
1712,europa,"Acidentes de trabalho graves, por 100 mil empregados: total e por alguns setores de atividade económica",Serious accidents at work per 100 thousand employed persons total and by some sectors of economic activities,ok
1355,europa,Acidentes de trabalho graves e mortais,Serious and fatal accidents at work,ok
1304,europa,Acidentes de trabalho graves: total e por alguns setores de atividade económica,Serious accidents at work total and by some sectors of economic activity,ok
1713,europa,"Acidentes de trabalho mortais, por 100 mil empregados: total e por alguns setores de atividade económica",Fatal accidents at work per 100 thousand employed persons total and by some sectors of economic activity,ok
3572,europa,Acidentes de trabalho mortais por 100 mil empregados: total e por sexo,Fatal accidents at work per 100 thousand employed persons total and by sex,ok
1314,europa,Acidentes de trabalho mortais: total e por alguns setores de atividade económica,Fatal accidents at work total and by some sectors of economic activity,ok
1325,europa,Acidentes de trabalho mortais: total e por sexo,Fatal accidents at work total and by sex,ok
3043,europa,Evolução de Acidentes de viação por países,Road accidents,ok
2724,europa,Acidentes ferroviários: total e por tipo de acidente,Railway accidents total and by type of accident,ok
3590,europa,Administrações Públicas: despesa em tribunais per capita,General government total expenditure on law courts per capita,ok
1547,europa,"Administrações Públicas: despesas, receitas e défice/excedente público (Euro)",General government expenditure revenue and net lending net borrowing (euro),ok
1762,europa,"Administrações Públicas: despesas, receitas e défice/excedente público, em % do PIB",General government expenditure revenue and net lending net borrowing as percentage of gdp,ok
1968,europa,Administrações Públicas: despesas por categoria (Euro),General government expenditure by category (euro),ok
1980,europa,Administrações Públicas: despesas por categoria (%),General government expenditure by category (percentage),ok
1763,europa,Administrações Públicas: dívida bruta em % do PIB,General government gross debt as a percentage of gdp,ok
1967,europa,Administrações Públicas: impostos sobre o rendimento (Euro),General government taxes on income (euro),ok
1964,europa,Administrações Públicas: receitas por categoria (Euro),General government revenue by category (euro),ok
1977,europa,Administrações Públicas: receitas por categoria (%),General government revenue by category (percentage),ok
1628,europa,"Adultos a viverem sozinhos com crianças ou filhos, por sexo (%)",Single adults living with children by sex (percentage),ok
1626,europa,Adultos a viverem sozinhos com crianças ou filhos: total e por sexo,Single adults with children total and by sex,ok
2698,europa,Aeroportos comerciais: total e por tipo,Commercial airports total and by type,ok
3656,europa,Agregados domésticos com cobertura de Internet de alta velocidade,High speed internet coverage,ok
1494,europa,"Agregados domésticos privados com computador, com ligação à Internet em casa e com ligação à Internet através de banda larga (%)",Households with a computer with internet access at home and using a broadband connection (percentage),ok
1629,europa,Agregados domésticos privados por tipo de composição do agregado (%),Private households by type of household composition (percentage),ok
1615,europa,Agregados domésticos privados: total e por número de crianças,Private households total and by number of children,ok
1614,europa,Agregados domésticos privados: total e por tipo de composição do agregado,Private households total and by type of household composition,ok
1627,europa,Agregados domésticos unipessoais de indivíduos com 65 e mais anos em % do total de agregados,Single person private households of individuals aged 65 and over as a percentage of total households,ok
1616,europa,Agregados domésticos unipessoais: total e com 65 e mais anos,Single person private households total and aged 65 and over,ok
3642,europa,Águas marinhas afetadas pela eutrofização,Marine waters affected by eutrophication,ok
1352,europa,Ajuda financeira aos alunos em % da despesa pública em educação: total e por nível de ensino (1999-2011),Financial aid to students as percentage of total public expenditure on education total and by level of education (1999 2011),ok
3596,europa,Ajuda pública ao desenvolvimento em % do rendimento nacional bruto,Official development assistance as share of gross national income (at current prices),ok
2436,europa,Alojamentos turísticos coletivos: total e por tipo,Collective tourist accommodations total and by type,ok
1303,europa,Alunos do sexo feminino matriculados no ensino superior (ISCED 5-8): total e por área de educação,Female students enrolled in higher education (isced 5 8) total and by field of education,ok
1294,europa,Alunos do sexo feminino matriculados: total e por nível de ensino,Enrolled female students total and by level of education,ok
1301,europa,Alunos do sexo masculino matriculados no ensino superior (ISCED 5-8): total e por área de educação,Male students enrolled in higher education (isced 5 8) total and by field of education,ok
1293,europa,Alunos do sexo masculino matriculados: total e por nível de ensino,Enrolled male students total and by level of education,ok
1658,europa,Alunos matriculados em % da população residente: total e por nível de ensino,Enrolled students as percentage of resident population total and by level of education,ok
1327,europa,Alunos matriculados no ensino básico 1.º e 2.º ciclos (ISCED 1): total e por subsistema de ensino,Students enrolled in primary education (isced 1) total and by sub system of education,ok
1328,europa,Alunos matriculados no ensino básico 3.º ciclo (ISCED 2): total e por subsistema de ensino,Students enrolled in lower secondary education (isced 2) total and by sub system of education,ok
1330,europa,Alunos matriculados no ensino pré-escolar (ISCED 02): total e por subsistema de ensino,Students enrolled in pre primary education (isced 02) total and by sub system of education,ok
1329,europa,Alunos matriculados no ensino secundário (ISCED 3): total e por subsistema de ensino,Students enrolled in upper secondary education (isced 3) total and by sub system of education,ok
1299,europa,Alunos matriculados no ensino superior (ISCED 5-8): total e por área de educação,Students enrolled in higher education (isced 5 8) total and by field of education,ok
1296,europa,Alunos matriculados no ensino superior (ISCED 5-8): total e por sexo,Students enrolled in higher education (isced 5 8) total and by sex,ok
1877,europa,Alunos matriculados no ensino superior (ISCED 5-8): total e por subsistema de ensino (percentagem),Students enrolled in higher education (isced 5 8) total and by sub system of education (percentage),ok
1326,europa,Alunos matriculados no ensino superior (ISCED 5-8): total e por subsistema de ensino,Students enrolled in higher education (isced 5 8) total and by sub system of education,ok
1291,europa,Alunos matriculados: total e por nível de ensino,Enrolled students total and by level of education,ok
1356,europa,Anos de escolaridade esperados (ISCED 02-8) (1998-2012),School expectancy (isced 02 8) (1998 2012),ok
3654,europa,Anos de vida saudável à nascença: total e por sexo,Healthy life years at birth total and by sex,ok
1590,europa,Anos de vida saudável aos 65 anos: por sexo,Healthy life years at 65 by sex,ok
3602,europa,Apoio do governo à investigação e desenvolvimento (I&D) na agricultura per capita,Government support to agricultural research and development (r d) per capita,ok
3536,europa,Apoio do governo à investigação e desenvolvimento (I&D) na agricultura,Government support to agricultural research and development (r d),ok
3358,europa,Aquisições de nacionalidade por 100 mil habitantes,Citizenship acquisitions per 100 thousand inhabitants,ok
1290,europa,Aquisições de nacionalidade,Citizenship acquisitions,ok
1888,europa,Área ardida por incêndio,Area burnt by forest fire,ok
3537,europa,Área em agricultura biológica (%),Area under organic farming (percentage),ok
3626,europa,Área florestal na superfície total do país (%),Forest area in the total area of the country (percentage),ok
3632,europa,Áreas balneares com qualidade de água excelente,Bathing sites with excellent water quality,ok
3300,europa,Arguidos: total e por nacionalidade,Persons prosecuted total and by citizenship,ok
3298,europa,Arguidos: total e por sexo,Persons prosecuted total and by sex,ok
1506,europa,Assinaturas do acesso à Internet,Internet subscriptions,ok
1714,europa,Assinaturas do acesso à Internet por mil habitantes,Subscriptions to internet per thousand inhabitants,ok
1505,europa,Assinaturas do serviço de telemóvel,Subscriptions to cellular mobile services,ok
1953,europa,Assinaturas do serviço de telemóvel por mil habitantes,Subscriptions to cellular mobile services per thousand inhabitants,ok
1766,europa,Balança comercial em % do PIB,Balance of trade as a percentage of gdp,ok
1554,europa,Balança comercial: exportação (Euro),Balance of trade export (euro),ok
1555,europa,Balança comercial: importação (Euro),Balance of trade import (euro),ok
1553,europa,Balança comercial: saldo (Euro),Balance of trade balance (euro),ok
2746,europa,Balança corrente: exportações (Euro),Current account exports (euro),ok
2742,europa,Balança corrente: importações (Euro),Current account imports (euro),ok
1551,europa,Balança corrente: saldos (Euro),Current account balances (euro),ok
2665,europa,Balança corrente: saldos em % do PIB,Current account balances as a percentage of gdp,ok
2666,europa,Balança de capital (Euro),Capital account (euro),ok
2747,europa,Balança de capital em % do PIB,Capital account as a percentage of gdp,ok
2696,europa,Balança de pagamentos tecnológica em % do PIB (1993-2015),Technology balance of payments as a percentage of gdp (1993 2015),ok
2744,europa,Balança financeira: investimento de carteira (Euro),Financial account portfolio investment (euro),ok
2743,europa,Balança financeira: investimento direto (Euro),Financial account direct investment (euro),ok
1334,europa,Camas disponíveis em hospitais,Available beds in hospitals,ok
1700,europa,Camas em hospitais por 100 mil habitantes,Beds in hospitals per 100 thousand inhabitants,ok
2438,europa,Camas nos alojamentos turísticos coletivos: total e por tipo de alojamento,Bed places in collective tourist accommodations total and by type of accommodation,ok
1264,europa,Evolução do número de Casamentos por países,Marriages,ok
3354,europa,Condenados por 100 mil habitantes,Convicted persons per 100 thousand inhabitants,ok
3301,europa,Condenados: total e por nacionalidade,Convicted person total and by citizenship,ok
3299,europa,Condenados: total e por sexo,Persons convicted total and by sex,ok
2967,europa,Consumo das famílias no território económico: total e por durabilidade (Euro),Consumption by households in the economic territory total and by durability (euro),ok
3545,europa,Consumo de antibióticos,Consumption of antibiotics,ok
1473,europa,Consumo de energia elétrica: total e por tipo de setor consumidor,Electrical energy consumption total and by type of consumer sector,ok
3551,europa,Consumo de energia final das famílias per capita,Final energy consumption in households per capita,ok
1476,europa,Consumo de energia final: por tipo de produto energético,Final energy consumption by type of energy product,ok
1397,europa,Consumo de energia final: total e por tipo de setor consumidor,Final energy consumption total and by type of consumer sector,ok
3546,europa,Consumo de energia primária e de energia final,Primary final energy consumption,ok
1520,europa,Consumo final efetivo das famílias: por tipo de bens e serviços (PPC),Actual final consumption by households by goods and services type (pps),ok
1535,europa,"Consumo final: total, público e privado (Euro)",Final consumption total public and private (euro),ok
1537,europa,"Consumo final: total, público e privado (PPC)",Final consumption total public and private (pps),ok
1768,europa,"Consumo final: total, público e privado em % do PIB",Final consumption total public and private as a percentage of gdp,ok
1396,europa,Consumo interno bruto de energia,Gross inland consumption of energy,ok
3330,europa,Consumo interno de materiais: total e por tipo de material,Domestic material consumption total and by type of material,ok
1538,europa,"Consumo privado: total, famílias e instituições sem fim lucrativo ao serviço das famílias (Euro)",Private consumption total households and non profit institutions serving households (euro),ok
1539,europa,"Consumo privado: total, famílias e instituições sem fim lucrativo ao serviço das famílias (PPC)",Private consumption total households and non profit institutions serving households (pps),ok
1729,europa,Contribuição das energias renováveis na produção primária de energia (%),Contribution of renewable energies to the primary production of energy (percentage),ok
3600,europa,Contribuição das energias renováveis no consumo de energia final (%),Share of renewable energy in gross final energy consumption (percentage),ok
3627,europa,Contribuição dos impostos ambientais nas receitas fiscais totais (%),Share of environmental taxes in total tax revenues (percentage),ok
3621,europa,Contribuição para o compromisso de $100 mil milhões em despesas relacionadas com o clima,Contribution to the international 100bn usd commitment on climate related expending,ok
1568,europa,Contributo dos saldos natural e migratório para a variação populacional anual (%),Contribution of natural and migratory growth to annual population variation (percentage),ok
3285,europa,Registos de crimes por Categoria,Crimes by type,ok
3164,europa,Custos com encargos sociais dos trabalhadores por conta de outrem nas empresas: por alguns setores de atividade económica,Social security costs with employees working in enterprises by some sectors of economic activity,ok
3163,europa,Custos com ordenados e salários dos trabalhadores por conta de outrem nas empresas: por alguns setores de atividade económica,Cost with wages and salaries of employees working in enterprises by some sectors of economic activity,ok
3162,europa,Custos com os trabalhadores por conta de outrem ao serviço nas empresas: por alguns setores de atividade económica,Costs with employees working in enterprises by some sectors of economic activity,ok
3165,europa,Custos com salários e ordenados em % do total dos custos com o pessoal nas empresas: por alguns setores de atividade económica,Costs with wages and salaries as a percentage of the total costs with personnel in enterprises by some sectors of economic activity,ok
3166,europa,Custos médios com o pessoal por trabalhador: por alguns setores de atividade económica,Average personnel costs per person employed by some sectors of economic activity,ok
1802,europa,Densidade populacional,Population density,ok
1698,europa,Dentistas por 100 mil habitantes,Dentists per 100 thousand inhabitants,ok
3601,europa,Dependência das importações de energia,Energy import dependency,ok
1540,europa,Desigualdade na distribuição do rendimento (S80/S20),Inequality of income distribution (s80 s20),ok
2119,europa,"Desigualdades entre taxas de desemprego, dos 15 aos 74 anos: por nível de escolaridade",Inequalities between unemployment rates aged 15 to 74 by level of education completed,ok
1962,europa,Despesa em cuidados de saúde em % do PIB,Health expenditure as a percentage of gdp,ok
1963,europa,Despesa em cuidados de saúde por habitante (Euro),Health expenditure per inhabitant (euro),ok
2580,europa,Despesa em cuidados de saúde: total e por tipo de agente financiador (Euro),Expenditure on healthcare total and by type of financing agent (euro),ok
1288,europa,Despesa em cuidados de saúde: total e por tipo de prestador (Euro),Expenditure on healthcare total and by type of provider (euro),ok
2531,europa,Despesa média em viagens turísticas por turista (Euro/ECU),Average expenditure in tourist trips per tourist (euro ecu),ok
2538,europa,Despesa média por viagem turística: total e por destino da viagem (Euro/ECU),Average expenditure per tourist trip total and by destination of the trip (euro ecu),ok
1351,europa,Despesa pública em educação: total e por nível de ensino (PPC),Public expenditure on education total and by level of education (pps),ok
1578,europa,Despesas da proteção social em % do PIB,Social protection expenditure as a percentage of gdp,ok
1411,europa,Despesas da proteção social: total e por função (Euro),Social protection expenditure total and by function (euro),ok
1407,europa,"Despesas da proteção social: total e por função, a preços constantes (base=2010)",Social protection expenditure total and by function constant prices,ok
1581,europa,"Despesas da proteção social: total e por função, por habitante (Euro)",Social protection expenditure total and by funtion per inhabitant (euro),ok
1586,europa,Despesas da proteção social: total e por tipo (Euro),Social protection expenditure total and by type (euro),ok
1402,europa,"Despesas da proteção social: total e por tipo, a preços constantes (base=2010)",Social protection expenditure total and by type constant prices,ok
1580,europa,"Despesas da proteção social: total e por tipo, por habitante (Euro)",Social protection expenditure total and by type per inhabitant (euro),ok
1728,europa,Despesas de consumo final das famílias: por tipo de bens e serviços (%),Final consumption expenditure by households by goods and services type (percentage),ok
1519,europa,Despesas de consumo final das famílias: total e por tipo de bens e serviços (Euro),Final consumption expenditure by households total and by goods and services type (euro),ok
1740,europa,Despesas em atividades de investigação e desenvolvimento (I&D) do setor empresas em % do PIB,Expenditure in research and development activities (r d) of enterprises sector as a percentage of gdp,ok
1674,europa,Despesas em atividades de investigação e desenvolvimento (I&D) em % do PIB: por setor de execução,Expenditure in research and development activities (r d) as a percentage of gdp by sector of performance,ok
1696,europa,Despesas em atividades de investigação e desenvolvimento (I&D): total e do setor empresas (Euro),Expenditure in research and development activities (r d) total and of enterprises sector (euro),ok
1420,europa,Despesas em atividades de investigação e desenvolvimento (I&D): total e por área científica (Euro),Expenditure in research and development activities (r d) total and by field of science (euro),ok
1418,europa,Despesas em atividades de investigação e desenvolvimento (I&D): total e por setor de execução (Euro),Expenditure in research and development activities (r d) total and by sector of performance (euro),ok
1690,europa,Despesas em atividades de investigação e desenvolvimento (I&D): total e por setor de execução (%),Expenditure in research and development activities (r d) total and by sector of performance (percentage),ok
2474,europa,Despesas em viagens turísticas de residentes: total e por destino da viagem (Euro/ECU),Touristic trips expenditure by residents total and by destination of the trip (euro ecu),ok
1521,europa,Despesas médias de consumo final efetivo das famílias: por tipo de bens e serviços (PPC),Average actual final consumption expenditure by households by goods and services type (pps),ok
2976,europa,Dimensão média das empresas: por alguns setores de atividade económica,Average size of enterprises by some sectors of economic activity,ok
3158,europa,Dimensão média das empresas: total,Average size of enterprises total,ok
3659,europa,Dimensão média das explorações agrícolas,Average size of agriculture holdings,ok
3204,europa,Dimensão média das grandes empresas: por alguns setores de atividade económica,Average size of large enterprises by some sectors of economic activity,ok
3216,europa,Dimensão média das pequenas e médias empresas: por alguns setores de atividade económica,Average size of small and medium sized enterprises by some sectors of economic activity,ok
1613,europa,Dimensão média dos agregados domésticos privados,Average number of persons per household,ok
1324,europa,Diplomados do sexo feminino no ensino superior (ISCED 5-8): total e por área de educação,Female graduates in higher education (isced 5 8) total and by field of education,ok
